race,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,poll_id,question_id
2020D,National,2/11/2020,Michael F. Bennet,9/9/2019,9/12/2019,Harris Insights & Analytics,801,lv,0,0,1,.7277927,,59553,102617
2020D,National,2/11/2020,Pete Buttigieg,9/9/2019,9/12/2019,Harris Insights & Analytics,801,lv,0,0,4,5.250118,,59553,102617
2020D,Arizona,2/11/2020,Pete Buttigieg,9/9/2019,9/12/2019,Bendixen & Amandi International,250,rv,.4042187,.0715699,5,5.970903,9.530319,59598,102799
2020D,National,2/11/2020,Tulsi Gabbard,9/9/2019,9/12/2019,Harris Insights & Analytics,801,lv,0,0,1,1.318327,,59553,102617
2020D,National,2/11/2020,Andrew Yang,9/9/2019,9/12/2019,Harris Insights & Analytics,801,lv,0,0,2,2.443115,,59553,102617
2020D,Arizona,2/11/2020,Andrew Yang,9/9/2019,9/12/2019,Bendixen & Amandi International,250,rv,.4042187,.0715699,2,2.348598,3.350068,59598,102799
2020D,National,2/11/2020,Tom Steyer,9/9/2019,9/12/2019,Harris Insights & Analytics,801,lv,0,0,1,.5189356,,59553,102617
2020D,National,2/11/2020,Amy Klobuchar,9/9/2019,9/12/2019,Harris Insights & Analytics,801,lv,0,0,1,1.228318,,59553,102617
2020D,Arizona,2/11/2020,Amy Klobuchar,9/9/2019,9/12/2019,Bendixen & Amandi International,250,rv,.4042187,.0715699,1,.9984,3.714792,59598,102799
2020D,National,2/11/2020,Elizabeth Warren,9/9/2019,9/12/2019,Harris Insights & Analytics,801,lv,0,0,15,19.4609,,59553,102617
2020D,Arizona,2/11/2020,Elizabeth Warren,9/9/2019,9/12/2019,Bendixen & Amandi International,250,rv,.4042187,.0715699,24,24.93405,17.43758,59598,102799
2020D,National,2/11/2020,Bernard Sanders,9/9/2019,9/12/2019,Harris Insights & Analytics,801,lv,0,0,14,14.61469,,59553,102617
2020D,Arizona,2/11/2020,Bernard Sanders,9/9/2019,9/12/2019,Bendixen & Amandi International,250,rv,.4042187,.0715699,18,18.09229,25.05894,59598,102799
2020D,National,2/11/2020,Joseph R. Biden Jr.,9/9/2019,9/12/2019,Harris Insights & Analytics,801,lv,0,0,38,34.13815,,59553,102617
2020D,Arizona,2/11/2020,Joseph R. Biden Jr.,9/9/2019,9/12/2019,Bendixen & Amandi International,250,rv,.4042187,.0715699,29,29.80842,23.03547,59598,102799
2020D,National,2/11/2020,Michael F. Bennet,9/9/2019,9/10/2019,Ipsos,557,rv,.6907239,0,0,.065323,,59545,102564
2020D,National,2/11/2020,Pete Buttigieg,9/9/2019,9/10/2019,Ipsos,557,rv,.5955091,0,4,5.370348,,59545,102564
2020D,National,2/11/2020,Tulsi Gabbard,9/9/2019,9/10/2019,Ipsos,557,rv,.5955091,0,1,1.322876,,59545,102564
2020D,National,2/11/2020,Andrew Yang,9/9/2019,9/10/2019,Ipsos,557,rv,.5955091,0,3,3.036176,,59545,102564
2020D,National,2/11/2020,Tom Steyer,9/9/2019,9/10/2019,Ipsos,557,rv,.5955091,0,1,.9093187,,59545,102564
2020D,National,2/11/2020,Amy Klobuchar,9/9/2019,9/10/2019,Ipsos,557,rv,.5955091,0,1,1.50502,,59545,102564
2020D,National,2/11/2020,Elizabeth Warren,9/9/2019,9/10/2019,Ipsos,557,rv,.5955091,0,11,14.7916,,59545,102564
2020D,National,2/11/2020,Bernard Sanders,9/9/2019,9/10/2019,Ipsos,557,rv,.5955091,0,16,16.66759,,59545,102564
2020D,National,2/11/2020,Joseph R. Biden Jr.,9/9/2019,9/10/2019,Ipsos,557,rv,.5955091,0,22,25.96252,,59545,102564
2020D,New York,2/11/2020,Pete Buttigieg,9/8/2019,9/12/2019,Siena College,359,rv,.5904669,.1010425,3,3.154759,6.834904,59583,102748
2020D,New York,2/11/2020,Tulsi Gabbard,9/8/2019,9/12/2019,Siena College,359,rv,.5904669,.1010425,1,1.00991,1.117024,59583,102748
2020D,New York,2/11/2020,Andrew Yang,9/8/2019,9/12/2019,Siena College,359,rv,.5904669,.1010425,1,1.110777,1.9911,59583,102748
2020D,New York,2/11/2020,Amy Klobuchar,9/8/2019,9/12/2019,Siena College,359,rv,.5904669,.1010425,1,1.063304,3.62752,59583,102748
2020D,New York,2/11/2020,Elizabeth Warren,9/8/2019,9/12/2019,Siena College,359,rv,.5904669,.1010425,17,16.73705,11.40081,59583,102748
2020D,New York,2/11/2020,Bernard Sanders,9/8/2019,9/12/2019,Siena College,359,rv,.5904669,.1010425,15,15.10466,20.88091,59583,102748
2020D,New York,2/11/2020,Joseph R. Biden Jr.,9/8/2019,9/12/2019,Siena College,359,rv,.5904669,.1010425,22,22.43906,16.49051,59583,102748
2020D,National,2/11/2020,Michael F. Bennet,9/8/2019,9/11/2019,Harris Insights & Analytics,807,lv,.0619317,0,0,-.2385948,,59543,102559
2020D,National,2/11/2020,Pete Buttigieg,9/8/2019,9/11/2019,Harris Insights & Analytics,807,lv,.0606452,0,5,6.343427,,59543,102559
2020D,National,2/11/2020,Tulsi Gabbard,9/8/2019,9/11/2019,Harris Insights & Analytics,807,lv,.0606452,0,1,1.318327,,59543,102559
2020D,National,2/11/2020,Andrew Yang,9/8/2019,9/11/2019,Harris Insights & Analytics,807,lv,.0606452,0,3,3.486912,,59543,102559
2020D,National,2/11/2020,Tom Steyer,9/8/2019,9/11/2019,Harris Insights & Analytics,807,lv,.0606452,0,1,.5189356,,59543,102559
2020D,National,2/11/2020,Amy Klobuchar,9/8/2019,9/11/2019,Harris Insights & Analytics,807,lv,.0606452,0,1,1.228318,,59543,102559
2020D,National,2/11/2020,Elizabeth Warren,9/8/2019,9/11/2019,Harris Insights & Analytics,807,lv,.0606452,0,15,19.4609,,59543,102559
2020D,National,2/11/2020,Bernard Sanders,9/8/2019,9/11/2019,Harris Insights & Analytics,807,lv,.0606452,0,17,17.67044,,59543,102559
2020D,National,2/11/2020,Joseph R. Biden Jr.,9/8/2019,9/11/2019,Harris Insights & Analytics,807,lv,.0606452,0,35,31.23435,,59543,102559
2020D,National,2/11/2020,Michael F. Bennet,9/8/2019,9/10/2019,YouGov,632,lv,.5076376,0,1,.9341187,,59539,102461
2020D,National,2/11/2020,Pete Buttigieg,9/8/2019,9/10/2019,YouGov,632,lv,.5076376,0,5,4.332881,,59539,102461
2020D,National,2/11/2020,Tulsi Gabbard,9/8/2019,9/10/2019,YouGov,632,lv,.5076376,0,1,.5702196,,59539,102461
2020D,National,2/11/2020,Andrew Yang,9/8/2019,9/10/2019,YouGov,632,lv,.5076376,0,2,2.500776,,59539,102461
2020D,National,2/11/2020,Tom Steyer,9/8/2019,9/10/2019,YouGov,632,lv,.5076376,0,0,.2599744,,59539,102461
2020D,National,2/11/2020,Amy Klobuchar,9/8/2019,9/10/2019,YouGov,632,lv,.5076376,0,1,1.135102,,59539,102461
2020D,National,2/11/2020,Elizabeth Warren,9/8/2019,9/10/2019,YouGov,632,lv,.5076376,0,24,20.52364,,59539,102461
2020D,National,2/11/2020,Bernard Sanders,9/8/2019,9/10/2019,YouGov,632,lv,.5076376,0,17,17.10994,,59539,102461
2020D,National,2/11/2020,Joseph R. Biden Jr.,9/8/2019,9/10/2019,YouGov,632,lv,.5076376,0,24,24.30368,,59539,102461
2020D,National,2/11/2020,Michael F. Bennet,9/7/2019,9/8/2019,Harris Insights & Analytics,454,rv,.1106171,0,1,.7277927,,59542,102545
2020D,National,2/11/2020,Pete Buttigieg,9/7/2019,9/8/2019,Harris Insights & Analytics,454,rv,.1065102,0,4,5.250118,,59542,102545
2020D,National,2/11/2020,Tulsi Gabbard,9/7/2019,9/8/2019,Harris Insights & Analytics,454,rv,.1065102,0,1,1.318327,,59542,102545
2020D,National,2/11/2020,Andrew Yang,9/7/2019,9/8/2019,Harris Insights & Analytics,454,rv,.1065102,0,5,5.568866,,59542,102545
2020D,National,2/11/2020,Tom Steyer,9/7/2019,9/8/2019,Harris Insights & Analytics,454,rv,.1065102,0,1,.5189356,,59542,102545
2020D,National,2/11/2020,Amy Klobuchar,9/7/2019,9/8/2019,Harris Insights & Analytics,454,rv,.1065102,0,1,1.228318,,59542,102545
2020D,National,2/11/2020,Elizabeth Warren,9/7/2019,9/8/2019,Harris Insights & Analytics,454,rv,.1065102,0,12,16.0639,,59542,102545
2020D,National,2/11/2020,Bernard Sanders,9/7/2019,9/8/2019,Harris Insights & Analytics,454,rv,.1065102,0,15,15.63399,,59542,102545
2020D,National,2/11/2020,Joseph R. Biden Jr.,9/7/2019,9/8/2019,Harris Insights & Analytics,454,rv,.1065102,0,27,23.58534,,59542,102545
2020D,National,2/11/2020,Michael F. Bennet,9/7/2019,9/11/2019,GQR Research (GQRR),241,lv,.4367909,0,0,.1437465,,59572,102683
2020D,Georgia,2/11/2020,Michael F. Bennet,9/7/2019,9/11/2019,Change Research,755,lv,.8306162,.4791636,0,.1546404,.0589665,59579,102718
2020D,National,2/11/2020,Pete Buttigieg,9/7/2019,9/11/2019,GQR Research (GQRR),241,lv,.4367909,0,4,3.587802,,59572,102683
2020D,Georgia,2/11/2020,Pete Buttigieg,9/7/2019,9/11/2019,Change Research,755,lv,.8306162,.4564231,7,3.811092,7.61208,59579,102718
2020D,National,2/11/2020,Tulsi Gabbard,9/7/2019,9/11/2019,GQR Research (GQRR),241,lv,.4367909,0,2,1.837677,,59572,102683
2020D,Georgia,2/11/2020,Tulsi Gabbard,9/7/2019,9/11/2019,Change Research,755,lv,.8306162,.4791636,2,1.37907,1.465905,59579,102718
2020D,National,2/11/2020,Andrew Yang,9/7/2019,9/11/2019,GQR Research (GQRR),241,lv,.4367909,0,2,2.257087,,59572,102683
2020D,Georgia,2/11/2020,Andrew Yang,9/7/2019,9/11/2019,Change Research,755,lv,.8306162,.4791636,3,2.789473,3.801855,59579,102718
2020D,National,2/11/2020,Tom Steyer,9/7/2019,9/11/2019,GQR Research (GQRR),241,lv,.4367909,0,0,.1168758,,59572,102683
2020D,Georgia,2/11/2020,Tom Steyer,9/7/2019,9/11/2019,Change Research,755,lv,.8306162,.1464659,0,.165411,1.555379,59579,102718
2020D,National,2/11/2020,Amy Klobuchar,9/7/2019,9/11/2019,GQR Research (GQRR),241,lv,.4367909,0,2,1.654231,,59572,102683
2020D,Georgia,2/11/2020,Amy Klobuchar,9/7/2019,9/11/2019,Change Research,755,lv,.8306162,.4791636,1,1.035422,3.714131,59579,102718
2020D,National,2/11/2020,Elizabeth Warren,9/7/2019,9/11/2019,GQR Research (GQRR),241,lv,.4367909,0,19,18.92251,,59572,102683
2020D,Georgia,2/11/2020,Elizabeth Warren,9/7/2019,9/11/2019,Change Research,755,lv,.8306162,.4564231,22,17.95171,11.63602,59579,102718
2020D,National,2/11/2020,Bernard Sanders,9/7/2019,9/11/2019,GQR Research (GQRR),241,lv,.4367909,0,21,18.40769,,59572,102683
2020D,Georgia,2/11/2020,Bernard Sanders,9/7/2019,9/11/2019,Change Research,755,lv,.8306162,.4564231,17,13.62772,19.47653,59579,102718
2020D,National,2/11/2020,Joseph R. Biden Jr.,9/7/2019,9/11/2019,GQR Research (GQRR),241,lv,.4367909,0,30,28.47749,,59572,102683
2020D,Georgia,2/11/2020,Joseph R. Biden Jr.,9/7/2019,9/11/2019,Change Research,755,lv,.8306162,.4564231,33,37.45375,30.19342,59579,102718
2020D,National,2/11/2020,Michael F. Bennet,9/7/2019,9/10/2019,McLaughlin & Associates,454,lv,.5777394,0,1,.8442478,,59552,102609
2020D,National,2/11/2020,Michael F. Bennet,9/7/2019,9/10/2019,Harris Insights & Analytics,815,lv,.0610334,0,0,-.2385948,,59528,102397
2020D,National,2/11/2020,Pete Buttigieg,9/7/2019,9/10/2019,McLaughlin & Associates,454,lv,.5777394,0,6,7.238663,,59552,102609
2020D,National,2/11/2020,Pete Buttigieg,9/7/2019,9/10/2019,Harris Insights & Analytics,815,lv,.0592414,0,4,5.250118,,59528,102397
2020D,National,2/11/2020,Tulsi Gabbard,9/7/2019,9/10/2019,McLaughlin & Associates,454,lv,.5777394,0,2,1.923211,,59552,102609
2020D,National,2/11/2020,Tulsi Gabbard,9/7/2019,9/10/2019,Harris Insights & Analytics,815,lv,.0592414,0,1,1.318327,,59528,102397
2020D,National,2/11/2020,Andrew Yang,9/7/2019,9/10/2019,McLaughlin & Associates,454,lv,.5777394,0,2,1.72136,,59552,102609
2020D,National,2/11/2020,Andrew Yang,9/7/2019,9/10/2019,Harris Insights & Analytics,815,lv,.0592414,0,3,3.486912,,59528,102397
2020D,National,2/11/2020,Tom Steyer,9/7/2019,9/10/2019,McLaughlin & Associates,454,lv,.5777394,0,0,-.1795052,,59552,102609
2020D,National,2/11/2020,Tom Steyer,9/7/2019,9/10/2019,Harris Insights & Analytics,815,lv,.0592414,0,1,.5189356,,59528,102397
2020D,National,2/11/2020,Amy Klobuchar,9/7/2019,9/10/2019,McLaughlin & Associates,454,lv,.5777394,0,1,1.374907,,59552,102609
2020D,National,2/11/2020,Amy Klobuchar,9/7/2019,9/10/2019,Harris Insights & Analytics,815,lv,.0592414,0,1,1.228318,,59528,102397
2020D,National,2/11/2020,Elizabeth Warren,9/7/2019,9/10/2019,McLaughlin & Associates,454,lv,.5777394,0,12,14.40615,,59552,102609
2020D,National,2/11/2020,Elizabeth Warren,9/7/2019,9/10/2019,Harris Insights & Analytics,815,lv,.0592414,0,15,19.4609,,59528,102397
2020D,National,2/11/2020,Bernard Sanders,9/7/2019,9/10/2019,McLaughlin & Associates,454,lv,.5777394,0,21,20.50858,,59552,102609
2020D,National,2/11/2020,Bernard Sanders,9/7/2019,9/10/2019,Harris Insights & Analytics,815,lv,.0592414,0,17,17.67044,,59528,102397
2020D,National,2/11/2020,Joseph R. Biden Jr.,9/7/2019,9/10/2019,McLaughlin & Associates,454,lv,.5777394,0,28,27.36918,,59552,102609
2020D,National,2/11/2020,Joseph R. Biden Jr.,9/7/2019,9/10/2019,Harris Insights & Analytics,815,lv,.0592414,0,33,29.30906,,59528,102397
2020D,New Hampshire,2/11/2020,Michael F. Bennet,9/6/2019,9/9/2019,Emerson College,483,lv,.9553033,0,0,.0840148,.0028192,59522,102331
2020D,National,2/11/2020,Michael F. Bennet,9/6/2019,9/9/2019,Harris Insights & Analytics,788,lv,.0571417,0,0,-.2385948,,59515,102302
2020D,New Hampshire,2/11/2020,Pete Buttigieg,9/6/2019,9/9/2019,Emerson College,483,lv,.9553033,0,10.8,10.94241,16.3073,59522,102331
2020D,National,2/11/2020,Pete Buttigieg,9/6/2019,9/9/2019,Harris Insights & Analytics,788,lv,.0550202,0,5,6.343427,,59515,102302
2020D,New Hampshire,2/11/2020,Tulsi Gabbard,9/6/2019,9/9/2019,Emerson College,483,lv,.9553033,0,6.1,5.403859,5.531336,59522,102331
2020D,National,2/11/2020,Tulsi Gabbard,9/6/2019,9/9/2019,Harris Insights & Analytics,788,lv,.0550202,0,0,.2795341,,59515,102302
2020D,New Hampshire,2/11/2020,Andrew Yang,9/6/2019,9/9/2019,Emerson College,483,lv,.9553033,0,3.1,2.044876,3.067338,59522,102331
2020D,National,2/11/2020,Andrew Yang,9/6/2019,9/9/2019,Harris Insights & Analytics,788,lv,.0550202,0,3,3.486912,,59515,102302
2020D,New Hampshire,2/11/2020,Tom Steyer,9/6/2019,9/9/2019,Emerson College,483,lv,.9553033,0,1.2,1.25565,2.88431,59522,102331
2020D,National,2/11/2020,Tom Steyer,9/6/2019,9/9/2019,Harris Insights & Analytics,788,lv,.0550202,0,1,.5189356,,59515,102302
2020D,New Hampshire,2/11/2020,Amy Klobuchar,9/6/2019,9/9/2019,Emerson College,483,lv,.9553033,0,1.1,1.123233,3.85972,59522,102331
2020D,National,2/11/2020,Amy Klobuchar,9/6/2019,9/9/2019,Harris Insights & Analytics,788,lv,.0550202,0,1,1.228318,,59515,102302
2020D,New Hampshire,2/11/2020,Elizabeth Warren,9/6/2019,9/9/2019,Emerson College,483,lv,.9553033,0,20.5,20.62675,14.2422,59522,102331
