first_choice,biden,bloomberg,buttigieg,klobuchar,sanders,steyer,warren,yang
biden,0.16,0.19,0.07,0.05,0.29,0.03,0.21,0
bloomberg,0.36,0.12,0.11,0.07,0.15,0.04,0.15,0
buttigieg,0.2,0.14,0.12,0.1,0.14,0.06,0.24,0
klobuchar,0.3,0.09,0.16,0.11,0.1,0.04,0.2,0
sanders,0.23,0.02,0.04,0.02,0.29,0.02,0.38,0
steyer,0.23,0.03,0.1,0.06,0.21,0.14,0.22,0
warren,0.2,0.03,0.11,0.11,0.4,0.03,0.12,0
yang,0.16,0.03,0.04,0.02,0.33,0.01,0.21,0.2
