state,district,primary_type,delegates,clinton_2016,sanders_2016
Nevada,CD02,Caucus,6,1303,1551
Nevada,CD03,Caucus,6,1535,1378
Nevada,CD04,Caucus,6,1872,1319
New Hampshire,At-large,Primary,8,95355,152193
New Hampshire,CD01,Primary,8,49641,74891
New Hampshire,CD02,Primary,8,45714,77302
New Jersey,At-large,Primary,42,566247,328058
New Jersey,DD1,Primary,4,21010,13501
New Jersey,DD2,Primary,4,28282,19605
New Jersey,DD3,Primary,5,37894,23990
New Jersey,DD4,Primary,5,33095,19246
New Jersey,DD5,Primary,4,16986,14871
New Jersey,DD6,Primary,4,23353,15845
New Jersey,DD7,Primary,4,15661,12436
New Jersey,DD8,Primary,4,33922,17589
New Jersey,DD9,Primary,4,29158,17429
New Jersey,DD10,Primary,4,25934,17482
New Jersey,DD11,Primary,4,34308,15116
New Jersey,DD12,Primary,5,34874,17535
New Jersey,DD13,Primary,4,14613,15417
New Jersey,DD14,Primary,4,21306,15756
New Jersey,DD15,Primary,4,38822,13082
New Jersey,DD16,Primary,5,35936,18317
New Jersey,DD17,Primary,4,27397,15214
New Jersey,DD18,Primary,4,38946,14404
New Jersey,DD19,Primary,4,32794,16595
New Jersey,DD20,Primary,4,21956,14628
New Mexico,At-large,Primary,11,111000,104354
New Mexico,CD01,Primary,8,38768,39865
New Mexico,CD02,Primary,6,25360,21925
New Mexico,CD03,Primary,9,46872,42564
New York,At-large,Primary,90,1133980,820256
New York,CD01,Primary,6,23862,21765
New York,CD02,Primary,6,23390,19076
New York,CD03,Primary,6,40214,24648
New York,CD04,Primary,6,41210,24965
New York,CD05,Primary,8,61821,24568
New York,CD06,Primary,8,32957,24139
New York,CD07,Primary,9,47996,36828
New York,CD08,Primary,9,61848,35925
New York,CD09,Primary,9,67038,38504
New York,CD10,Primary,9,71998,36877
New York,CD11,Primary,6,25172,23634
New York,CD12,Primary,8,74188,434610
New York,CD13,Primary,9,70844,41710
New York,CD14,Primary,8,36907,26641
New York,CD15,Primary,9,52389,20797
New York,CD16,Primary,8,65694,28161
New York,CD17,Primary,6,49006,28162
New York,CD18,Primary,6,29353,25773
New York,CD19,Primary,6,24621,35022
New York,CD20,Primary,7,36181,40891
New York,CD21,Primary,5,16690,27843
New York,CD22,Primary,5,21234,27069
New York,CD23,Primary,5,22479,29980
New York,CD24,Primary,5,28222,26673
New York,CD25,Primary,5,38362,35240
New York,CD26,Primary,5,46434,42234
New York,CD27,Primary,5,23870,29521
North Carolina,At-large,Primary,38,513080,387625
North Carolina,CD01,Primary,8,59234,27666
North Carolina,CD02,Primary,6,31668,24473
North Carolina,CD03,Primary,4,28271,22920
North Carolina,CD04,Primary,9,47995,36966
North Carolina,CD05,Primary,5,35542,32081
North Carolina,CD06,Primary,5,41143,35268
North Carolina,CD07,Primary,5,42410,28851
North Carolina,CD08,Primary,4,28325,20612
North Carolina,CD09,Primary,5,42174,30951
North Carolina,CD10,Primary,4,29018,29093
North Carolina,CD11,Primary,4,29462,34785
North Carolina,CD12,Primary,8,57817,31610
North Carolina,CD13,Primary,5,40021,32349
North Dakota,At-large,Primary,14,101,253
Northern Marianas,At-large,Caucus,6,102,65
Ohio,At-large,Primary,47,696681,535394
Ohio,CD01,Primary,6,42600,29747
Ohio,CD02,Primary,5,38937,30524
Ohio,CD03,Primary,7,53478,37318
Ohio,CD04,Primary,4,29156,25686
Ohio,CD05,Primary,5,32050,32259
Ohio,CD06,Primary,3,32572,27343
Ohio,CD07,Primary,4,32615,27054
Ohio,CD08,Primary,4,26481,21899
Ohio,CD09,Primary,6,55253,42004
Ohio,CD10,Primary,6,41589,31046
Ohio,CD11,Primary,9,90224,42314
Ohio,CD12,Primary,6,40356,36684
Ohio,CD13,Primary,6,57714,46593
Ohio,CD14,Primary,6,43621,33949
Ohio,CD15,Primary,6,38163,36878
Ohio,CD16,Primary,6,41872,34096
Oklahoma,At-large,Primary,13,139443,174228
Oklahoma,CD01,Primary,5,30217,32290
Oklahoma,CD02,Primary,4,26450,37701
Oklahoma,CD03,Primary,4,22088,31018
Oklahoma,CD04,Primary,5,26008,39262
Oklahoma,CD05,Primary,6,34680,33957
Oregon,At-large,Primary,20,263913,348259
Oregon,CD01,Primary,9,56507,65854
Oregon,CD02,Primary,6,36361,44055
Oregon,CD03,Primary,10,72032,107319
Oregon,CD04,Primary,8,49663,74994
Oregon,CD05,Primary,8,49350,56037
Pennsylvania,At-large,Primary,61,935107,731881
Pennsylvania,CD01,Primary,8,83841,55069
Pennsylvania,CD02,Primary,7,131612,68279
Pennsylvania,CD03,Primary,12,39622,33646
Pennsylvania,CD04,Primary,10,34650,30959
Pennsylvania,CD05,Primary,10,32086,35069
Pennsylvania,CD06,Primary,6,43892,38908
Pennsylvania,CD07,Primary,6,48345,35808
Pennsylvania,CD08,Primary,6,51110,40280
Pennsylvania,CD09,Primary,6,32624,28180
Pennsylvania,CD10,Primary,6,27461,27326
Pennsylvania,CD11,Primary,5,35927,34573
Pennsylvania,CD12,Primary,5,51354,42226
Pennsylvania,CD13,Primary,5,71425,47970
Pennsylvania,CD14,Primary,5,78437,64366
Pennsylvania,CD15,Primary,5,38633,36678
Pennsylvania,CD16,Primary,5,31464,30568
Pennsylvania,CD17,Primary,9,47951,40267
Pennsylvania,CD18,Primary,9,54673,41709
Puerto Rico,At-large,Primary,18,54839,33958
Puerto Rico,San Juan,Primary,4,7105,6667
Puerto Rico,Bayamón,Primary,4,6969,4982
Puerto Rico,Arecibo,Primary,5,7796,3740
Puerto Rico,Mayagüez,Primary,4,6718,4387
Puerto Rico,Ponce,Primary,4,6816,3496
Puerto Rico,Guayama,Primary,4,6594,2987
Puerto Rico,Humacao,Primary,4,4880,2914
Puerto Rico,Carolina,Primary,4,7961,4785
Rhode Island,At-large,Primary,8,52749,66993
Rhode Island,CD01,Primary,9,29031,32773
Rhode Island,CD02,Primary,9,23718,34220
South Carolina,At-large,Primary,19,272379,96498
South Carolina,CD01,Primary,6,37806,19400
South Carolina,CD02,Primary,4,35432,15610
South Carolina,CD03,Primary,3,24644,10034
South Carolina,CD04,Primary,4,27556,14242
South Carolina,CD05,Primary,5,36106,11199
South Carolina,CD06,Primary,8,71948,14172
South Carolina,CD07,Primary,5,38887,11841
South Dakota,At-large,Primary,16,27047,25959
Tennessee,At-large,Primary,22,245930,120800
Tennessee,CD01,Primary,4,11284,10252
Tennessee,CD02,Primary,4,18447,16377
Tennessee,CD03,Primary,4,24279,14121
Tennessee,CD04,Primary,4,20444,12608
Tennessee,CD05,Primary,6,46461,24336
Tennessee,CD06,Primary,4,20063,11145
Tennessee,CD07,Primary,5,21930,11166
Tennessee,CD08,Primary,4,24097,8236
Tennessee,CD09,Primary,7,58925,12559
Texas,At-large,Primary,79,935860,476357
Texas,SD01,Primary,3,20935,6527
Texas,SD02,Primary,4,22000,10851
Texas,SD03,Primary,3,16668,6730
Texas,SD04,Primary,4,27258,11315
Texas,SD05,Primary,5,24794,20079
Texas,SD06,Primary,4,25226,9353
Texas,SD07,Primary,5,21586,11989
Texas,SD08,Primary,6,25917,17669
Texas,SD09,Primary,4,21810,13762
Texas,SD10,Primary,6,39207,17440
Texas,SD11,Primary,4,23391,11647
Texas,SD12,Primary,5,21273,15903
Texas,SD13,Primary,7,51568,12148
Texas,SD14,Primary,10,57579,60387
Texas,SD15,Primary,6,37285,14691
Texas,SD16,Primary,6,30145,16319
Texas,SD17,Primary,6,31480,14427
Texas,SD18,Primary,4,23021,9865
Texas,SD19,Primary,5,39350,16111
Texas,SD20,Primary,4,42572,16709
Texas,SD21,Primary,5,48558,23449
Texas,SD22,Primary,3,20212,9299
Texas,SD23,Primary,7,58847,15185
Texas,SD24,Primary,3,17027,10038
Texas,SD25,Primary,7,34279,24415
Texas,SD26,Primary,6,38554,18319
Texas,SD27,Primary,4,43762,16674
Texas,SD28,Primary,2,12164,8128
Texas,SD29,Primary,6,37513,18070
Texas,SD30,Primary,3,13320,13349
Texas,SD31,Primary,2,8559,5509
Utah,At-large,Primary,10,16162,62991
Utah,CD01,Primary,2,3388,13567
Utah,CD02,Primary,6,5104,19894
Utah,CD03,Primary,4,3553,13605
Utah,CD04,Primary,7,4117,15925
Vermont,At-large,Primary,16,18338,115900
Virgin Islands,St. Thomas/St. John,Caucus,3,683,78
Virgin Islands,St. Croix,Caucus,4,643,118
Virginia,At-large,Primary,34,504741,276370
Virginia,CD01,Primary,6,40411,23766
Virginia,CD02,Primary,5,37989,20968
Virginia,CD03,Primary,7,76080,26995
Virginia,CD04,Primary,6,50615,16536
Virginia,CD05,Primary,6,37639,22776
Virginia,CD06,Primary,5,23924,21447
Virginia,CD07,Primary,6,43582,26886
Virginia,CD08,Primary,7,73396,35898
Virginia,CD09,Primary,4,17411,15834
Virginia,CD10,Primary,6,46175,30618
Virginia,CD11,Primary,7,57519,34646
Washington,At-large,Primary,31,7141,19159
Washington,CD01,Primary,6,821,2185
Washington,CD02,Primary,6,661,2075
Washington,CD03,Primary,5,458,1741
Washington,CD04,Primary,3,334,1221
Washington,CD05,Primary,4,474,1640
Washington,CD06,Primary,6,666,1748
Washington,CD07,Primary,11,1098,2315
Washington,CD08,Primary,5,896,2024
Washington,CD09,Primary,7,1113,2312
Washington,CD10,Primary,5,620,1898
West Virginia,At-large,Primary,9,86914,124700
West Virginia,CD01,Primary,6,28615,43433
West Virginia,CD02,Primary,7,31221,38346
West Virginia,CD03,Primary,6,27078,42921
Wisconsin,At-large,Primary,29,433739,570192
Wisconsin,CD01,Primary,7,47428,57405
Wisconsin,CD02,Primary,10,77857,127969
Wisconsin,CD03,Primary,7,47741,76036
Wisconsin,CD04,Primary,9,80799,71912
Wisconsin,CD05,Primary,5,46091,54935
Wisconsin,CD06,Primary,5,44946,61088
Wisconsin,CD07,Primary,5,42891,58687
Wisconsin,CD08,Primary,7,45986,62160
Wyoming,At-large,Caucus,14,3131,4122
