state,district,primary_type,delegates,clinton_2016,sanders_2016
Alabama,At-large,Primary,18,309663,76308
Alabama,CD01,Primary,5,40894,9436
Alabama,CD02,Primary,5,40867,7577
Alabama,CD03,Primary,4,39719,8834
Alabama,CD04,Primary,3,20974,8317
Alabama,CD05,Primary,5,32094,8317
Alabama,CD06,Primary,4,27396,12097
Alabama,CD07,Primary,8,107719,16541
Alaska,At-large,Primary,15,2146,8447
American Samoa,At-large,Caucus,6,162,61
Arkansas,At-large,Primary,11,145713,65997
Arkansas,CD01,Primary,4,34549,13184
Arkansas,CD02,Primary,6,48494,17765
Arkansas,CD03,Primary,5,23299,19011
Arkansas,CD04,Primary,5,39371,16037
Arizona,At-large,Primary,23,262459,192962
Arizona,CD01,Primary,5,35445,26267
Arizona,CD02,Primary,6,42797,33891
Arizona,CD03,Primary,5,30298,20091
Arizona,CD04,Primary,3,20662,15289
Arizona,CD05,Primary,5,22973,16982
Arizona,CD06,Primary,5,29266,20259
Arizona,CD07,Primary,4,24245,17173
Arizona,CD08,Primary,5,27672,17651
Arizona,CD09,Primary,6,29101,25359
California,At-large,Primary,144,2745302,2381722
California,CD01,Primary,4,37008,53669
California,CD02,Primary,6,83241,95515
California,CD03,Primary,5,45320,42836
California,CD04,Primary,5,48187,44931
California,CD05,Primary,6,71427,68328
California,CD06,Primary,5,57334,47272
California,CD07,Primary,5,53082,42372
California,CD08,Primary,4,27046,23931
California,CD09,Primary,5,42806,31856
California,CD10,Primary,4,34589,30440
California,CD11,Primary,6,74414,55753
California,CD12,Primary,7,104246,89396
California,CD13,Primary,7,97164,100203
California,CD14,Primary,6,75605,55898
California,CD15,Primary,6,60137,46979
California,CD16,Primary,4,30493,24292
California,CD17,Primary,5,53764,41358
California,CD18,Primary,6,84088,59966
California,CD19,Primary,6,56965,43566
California,CD20,Primary,5,57858,64055
California,CD21,Primary,4,21948,14509
California,CD22,Primary,4,31672,25265
California,CD23,Primary,4,25728,22523
California,CD24,Primary,5,54391,61265
California,CD25,Primary,5,37299,34100
California,CD26,Primary,5,53738,49117
California,CD27,Primary,5,55671,44339
California,CD28,Primary,6,65975,65908
California,CD29,Primary,5,45070,42229
California,CD30,Primary,6,68804,56451
California,CD31,Primary,5,37621,29287
California,CD32,Primary,5,43948,34514
California,CD33,Primary,6,81343,58517
California,CD34,Primary,5,45763,49121
California,CD35,Primary,4,34613,29203
California,CD36,Primary,4,44450,26812
California,CD37,Primary,6,85616,58815
California,CD38,Primary,5,49946,40298
California,CD39,Primary,5,38804,33529
California,CD40,Primary,5,39418,35132
California,CD41,Primary,5,34462,29919
California,CD42,Primary,5,30433,25938
California,CD43,Primary,5,62128,40727
California,CD44,Primary,5,52921,38450
California,CD45,Primary,5,44609,39072
California,CD46,Primary,4,33214,34347
California,CD47,Primary,5,48201,45024
California,CD48,Primary,5,44388,38291
California,CD49,Primary,5,47105,42341
California,CD50,Primary,4,32311,33157
California,CD51,Primary,5,41362,34438
California,CD52,Primary,6,57483,49685
California,CD53,Primary,6,60084,56783
Colorado,At-large,Primary,23,49789,72846
Colorado,CD01,Primary,9,13242,16232
Colorado,CD02,Primary,9,11248,19376
Colorado,CD03,Primary,5,5715,8956
Colorado,CD04,Primary,5,3945,6115
Colorado,CD05,Primary,4,3977,6338
Colorado,CD06,Primary,6,6161,6675
Colorado,CD07,Primary,6,5501,9154
Connecticut,At-large,Primary,20,170045,152379
Connecticut,CD01,Primary,9,40115,33202
Connecticut,CD02,Primary,8,27384,36009
Connecticut,CD03,Primary,9,36883,33162
Connecticut,CD04,Primary,7,38761,22750
Connecticut,CD05,Primary,7,26902,27256
Delaware,At-large,Primary,7,55954,36662
Delaware,New Castle County,Primary,8,38584,25741
Delaware,Kent County,Primary,3,7338,4980
Delaware,Sussex County,Primary,3,10032,5941
Democrats Abroad,At-large,Primary,13,10689,23779
District of Columbia,At-large,Primary,7,76704,20361
District of Columbia,MD01,Primary,7,35077,9727
District of Columbia,MD02,Primary,6,41627,10634
Florida,At-large,Primary,76,1101414,568839
Florida,CD01,Primary,3,26987,18497
Florida,CD02,Primary,4,50190,34073
Florida,CD03,Primary,5,32070,27974
Florida,CD04,Primary,6,33920,22765
Florida,CD05,Primary,5,55855,18639
Florida,CD06,Primary,5,37995,24443
Florida,CD07,Primary,6,37410,26795
Florida,CD08,Primary,5,39384,24376
Florida,CD09,Primary,6,40609,19880
Florida,CD10,Primary,6,38011,22213
Florida,CD11,Primary,4,38061,21590
Florida,CD12,Primary,5,35498,23172
Florida,CD13,Primary,6,44121,29707
Florida,CD14,Primary,6,49146,23617
Florida,CD15,Primary,5,32793,20712
Florida,CD16,Primary,6,43921,25856
Florida,CD17,Primary,4,29899,17045
Florida,CD18,Primary,5,42804,20620
Florida,CD19,Primary,5,31958,17235
Florida,CD20,Primary,7,61998,15761
Florida,CD21,Primary,7,57723,22100
Florida,CD22,Primary,7,49602,22209
Florida,CD23,Primary,6,44510,19974
Florida,CD24,Primary,6,59274,13893
Florida,CD25,Primary,3,24897,9287
Florida,CD26,Primary,5,32069,14148
Florida,CD27,Primary,5,30709,12258
Georgia,At-large,Primary,37,545674,215797
Georgia,CD01,Primary,5,32408,12343
Georgia,CD02,Primary,5,4875,8817
Georgia,CD03,Primary,4,30311,11691
Georgia,CD04,Primary,7,73739,23827
Georgia,CD05,Primary,7,81636,32474
Georgia,CD06,Primary,5,34287,22632
Georgia,CD07,Primary,5,27483,15461
Georgia,CD08,Primary,4,27632,8539
Georgia,CD09,Primary,4,14263,9727
Georgia,CD10,Primary,4,33303,15274
Georgia,CD11,Primary,5,26137,17511
Georgia,CD12,Primary,4,33308,9361
Georgia,CD13,Primary,6,68652,19128
Georgia,CD14,Primary,3,13810,9012
Guam,At-large,Caucus,7,777,528
Hawaii,At-large,Primary,9,10126,23521
Hawaii,CD01,Primary,8,5001,8086
Hawaii,CD02,Primary,7,5125,15435
Idaho,At-large,Primary,7,5065,18640
Idaho,CD01,Primary,6,2319,8454
Idaho,CD02,Primary,7,2746,10186
Illinois,At-large,Primary,54,1045280,1007326
Illinois,CD01,Primary,8,114686,75854
Illinois,CD02,Primary,7,106450,65336
Illinois,CD03,Primary,6,57777,69075
Illinois,CD04,Primary,5,56514,78625
Illinois,CD05,Primary,7,77319,82876
Illinois,CD06,Primary,6,43455,49360
Illinois,CD07,Primary,8,117457,73790
Illinois,CD08,Primary,5,40803,45637
Illinois,CD09,Primary,8,83547,77828
Illinois,CD10,Primary,5,56133,45314
Illinois,CD11,Primary,5,45254,49577
Illinois,CD12,Primary,5,46824,43003
Illinois,CD13,Primary,5,37602,54194
Illinois,CD14,Primary,5,33878,47270
Illinois,CD15,Primary,3,23641,28588
Illinois,CD16,Primary,4,30060,42011
Illinois,CD17,Primary,5,45709,45676
Illinois,CD18,Primary,4,28171,33312
Indiana,At-large,Primary,27,303705,335074
Indiana,CD01,Primary,8,56312,50276
Indiana,CD02,Primary,5,28092,34029
Indiana,CD03,Primary,5,23970,27102
Indiana,CD04,Primary,5,22358,31061
Indiana,CD05,Primary,7,40171,42842
Indiana,CD06,Primary,6,25457,29202
Indiana,CD07,Primary,7,43229,42808
Indiana,CD08,Primary,6,32313,37568
Indiana,CD09,Primary,6,31803,40186
Iowa,At-large,Caucus,14,69733,69452
Iowa,CD01,Caucus,7,19029,19596
Iowa,CD02,Caucus,7,17635,19328
Iowa,CD03,Caucus,8,18829,16296
Iowa,CD04,Caucus,5,14240,14232
Kansas,At-large,Primary,13,12593,26429
Kansas,CD01,Primary,5,1833,4074
Kansas,CD02,Primary,7,3225,8117
Kansas,CD03,Primary,8,4689,7671
Kansas,CD04,Primary,6,2846,6567
Kentucky,At-large,Primary,18,210294,209423
Kentucky,CD01,Primary,5,29189,34871
Kentucky,CD02,Primary,5,31368,33803
Kentucky,CD03,Primary,9,60943,43288
Kentucky,CD04,Primary,6,26053,25923
Kentucky,CD05,Primary,4,19071,28383
Kentucky,CD06,Primary,7,43670,43155
Louisiana,At-large,Primary,19,221733,72277
Louisiana,CD01,Primary,4,21474,13184
Louisiana,CD02,Primary,8,75308,17879
Louisiana,CD03,Primary,6,22382,10502
Louisiana,CD04,Primary,6,34656,9602
Louisiana,CD05,Primary,6,33642,8687
Louisiana,CD06,Primary,5,34271,12423
Maine,At-large,Primary,8,1217,2203
Maine,CD01,Primary,9,693,1228
Maine,CD02,Primary,7,524,975
Maryland,At-large,Primary,31,573242,309990
Maryland,CD01,Primary,7,36609,29676
Maryland,CD02,Primary,7,63200,39321
Maryland,CD03,Primary,8,73337,48139
Maryland,CD04,Primary,9,85418,31345
Maryland,CD05,Primary,9,77572,35321
Maryland,CD06,Primary,7,52623,34175
Maryland,CD07,Primary,9,97802,46922
Maryland,CD08,Primary,9,86681,45091
Massachusetts,At-large,Primary,32,606822,589803
Massachusetts,CD01,Primary,6,56703,61487
Massachusetts,CD02,Primary,6,51612,71412
Massachusetts,CD03,Primary,6,60759,61732
Massachusetts,CD04,Primary,6,71441,59186
Massachusetts,CD05,Primary,8,88402,73702
Massachusetts,CD06,Primary,6,63924,69246
Massachusetts,CD07,Primary,8,79838,62162
Massachusetts,CD08,Primary,7,73171,67002
Massachusetts,CD09,Primary,6,60972,63874
Michigan,At-large,Primary,43,576099,598167
Michigan,CD01,Primary,5,28860,44359
Michigan,CD02,Primary,5,26090,39834
Michigan,CD03,Primary,5,28441,45282
Michigan,CD04,Primary,4,24928,35597
Michigan,CD05,Primary,6,48622,42755
Michigan,CD06,Primary,5,28265,39157
Michigan,CD07,Primary,5,29186,36019
Michigan,CD08,Primary,6,35205,46969
Michigan,CD09,Primary,7,48570,50903
Michigan,CD10,Primary,4,28314,33710
Michigan,CD11,Primary,7,39732,45054
Michigan,CD12,Primary,7,50157,58892
Michigan,CD13,Primary,7,71235,37028
Michigan,CD14,Primary,9,88494,42608
Minnesota,At-large,Primary,26,78381,126229
Minnesota,CD01,Primary,5,5488,10896
Minnesota,CD02,Primary,6,8538,11913
Minnesota,CD03,Primary,7,11154,12636
Minnesota,CD04,Primary,8,14913,21141
Minnesota,CD05,Primary,10,22341,41161
Minnesota,CD06,Primary,4,5321,8840
Minnesota,CD07,Primary,4,4050,6955
Minnesota,CD08,Primary,5,6576,12687
Mississippi,At-large,Primary,13,187335,37742
Mississippi,CD01,Primary,5,34271,8981
Mississippi,CD02,Primary,9,82221,12465
Mississippi,CD03,Primary,5,43832,8155
Mississippi,CD04,Primary,4,27011,8141
Missouri,At-large,Primary,24,312285,310711
Missouri,CD01,Primary,8,86389,60183
Missouri,CD02,Primary,6,46834,49705
Missouri,CD03,Primary,5,29021,35735
Missouri,CD04,Primary,5,26493,33726
Missouri,CD05,Primary,6,52169,46473
Missouri,CD06,Primary,5,28799,32170
Missouri,CD07,Primary,5,21593,31417
Missouri,CD08,Primary,4,20987,21302
Montana,At-large,Primary,6,55805,65156
Montana,Western,Primary,7,29510,37319
Montana,Eastern,Primary,6,26295,27837
Nebraska,At-large,Primary,9,14340,19120
Nebraska,CD01,Primary,7,5658,8457
Nebraska,CD02,Primary,9,6053,7338
Nebraska,CD03,Primary,4,2629,3325
Nevada,At-large,Caucus,13,6313,5672
Nevada,CD01,Caucus,5,1603,1424
